driver_id,base_zone,employment_type,years_experience,training_score,driver_rating,shift_preference,active_flag,base_zone_clean,zone_clean
D001,AIRPORT,FullTime,8,67.8,3.54,Morning,1,Airport,Airport
D002,Central,FullTime,4,42.4,3.94,Evening,1,Central,Central
D003,AIRPORT,FullTime,11,96.5,5.0,Evening,1,Airport,Airport
D004,Airport,PartTime,13,88.9,4.75,Morning,1,Airport,Airport
D005,north,FullTime,3,69.7,4.14,Morning,1,North,North
D006,CENTRAL,FullTime,8,78.8,4.38,Flexible,1,Central,Central
D007,North,FullTime,4,92.6,3.94,Evening,1,North,North
D008,SOUTH,FullTime,9,84.1,3.88,Morning,1,South,South
D009,Airport,FullTime,15,63.4,3.8,Night,1,Airport,Airport
D010,West,FullTime,8,70.0,3.95,Evening,1,West,West
D011,East,FullTime,3,89.4,3.85,Night,1,East,East
D012,SOUTH,FullTime,10,95.1,4.48,Night,1,South,South
D013,West,FullTime,11,80.8,4.31,Morning,1,West,West
D014,NORTH,FullTime,6,76.1,4.7,Evening,1,North,North
D015,East,FullTime,11,85.1,4.34,Morning,1,East,East
D016,AIRPORT,FullTime,6,81.9,4.31,Evening,1,Airport,Airport
D017,EAST,PartTime,1,75.2,4.34,Morning,1,East,East
D018,WEST,PartTime,14,73.8,4.57,Flexible,1,West,West
D019,Riverside,FullTime,11,73.4,3.82,Flexible,0,Riverside,Riverside
D020,East,FullTime,6,75.2,4.61,Evening,1,East,East
D021,South,FullTime,7,91.8,4.24,Evening,1,South,South
D022,EAST,FullTime,9,68.7,3.36,Flexible,1,East,East
D023,EAST,FullTime,11,79.1,4.16,Night,1,East,East
D024,RiverSide,PartTime,8,71.4,3.35,Evening,1,Riverside,Riverside
D025,North,FullTime,1,86.4,3.72,Morning,1,North,North
D026,NORTH,PartTime,4,84.9,3.15,Night,0,North,North
D027,AIRPORT,PartTime,12,74.3,3.7,Night,1,Airport,Airport
D028,North,FullTime,11,83.0,4.07,Flexible,1,North,North
D029,EAST,Contract,2,70.2,3.84,Flexible,1,East,East
D030,CENTRAL,FullTime,7,74.0,4.56,Night,1,Central,Central
D031,NORTH,FullTime,10,91.5,4.03,Flexible,1,North,North
D032,East,PartTime,6,81.5,3.99,Evening,1,East,East
D033,South,PartTime,9,59.8,4.05,Night,1,South,South
D034,West,FullTime,11,71.3,4.27,Morning,1,West,West
D035,Ctr,FullTime,5,66.2,3.71,Flexible,0,Ctr,Ctr
D036,Airport,PartTime,9,79.3,4.69,Morning,1,Airport,Airport
D037,north,PartTime,7,63.9,4.67,Morning,1,North,North
D038,SOUTH,FullTime,5,67.4,3.72,Evening,1,South,South
D039,AIRPORT,Contract,7,86.1,4.06,Evening,1,Airport,Airport
D040,Riverside,FullTime,7,55.6,4.4,Night,1,Riverside,Riverside
D041,EAST,PartTime,3,88.2,3.67,Morning,1,East,East
D042,North,FullTime,9,70.5,3.37,Night,1,North,North
D043,NORTH,FullTime,13,80.3,4.6,Evening,0,North,North
D044,AIRPORT,FullTime,11,79.4,4.05,Night,1,Airport,Airport
D045,NORTH,FullTime,2,59.6,4.12,Flexible,1,North,North
D046,South,FullTime,5,82.2,4.06,Morning,1,South,South
D047,South,FullTime,7,64.6,4.7,Morning,1,South,South
D048,East,FullTime,7,76.3,3.45,Flexible,1,East,East
D049,CENTRAL,Contract,14,41.4,4.0,Morning,1,Central,Central
D050,NORTH,FullTime,6,87.4,3.9,Evening,1,North,North
D051,WEST,FullTime,3,75.4,3.58,Evening,1,West,West
D052,Riverside,FullTime,8,71.7,3.39,Morning,1,Riverside,Riverside
D053,West,FullTime,5,83.3,3.8,Morning,1,West,West
D054,WEST,FullTime,3,80.1,4.32,Morning,1,West,West
D055,Central,FullTime,15,90.5,5.0,Flexible,1,Central,Central
D056,West,FullTime,12,74.6,4.45,Evening,1,West,West
D057,WEST,FullTime,6,75.0,4.25,Morning,1,West,West
D058,AIRPORT,FullTime,9,82.7,4.27,Flexible,1,Airport,Airport
D059,north,FullTime,7,82.8,4.22,Night,1,North,North
D060,South,FullTime,4,76.0,4.49,Morning,1,South,South
D061,RiverSide,Contract,8,85.9,4.38,Evening,1,Riverside,Riverside
D062,South,FullTime,10,62.4,4.48,Flexible,1,South,South
D063,north,PartTime,12,85.7,4.03,Morning,1,North,North
D064,SOUTH,PartTime,14,88.9,4.18,Morning,1,South,South
D065,Riverside,FullTime,14,59.6,4.02,Morning,1,Riverside,Riverside
D066,SOUTH,PartTime,1,83.3,4.13,Flexible,1,South,South
D067,WEST,FullTime,11,77.0,4.84,Morning,1,West,West
D068,Central,PartTime,10,83.9,3.99,Flexible,1,Central,Central
D069,NORTH,PartTime,2,61.5,5.0,Evening,0,North,North
D070,South,FullTime,9,67.0,5.0,Flexible,1,South,South
D071,CENTRAL,PartTime,12,56.7,4.49,Evening,1,Central,Central
D072,South,FullTime,10,75.8,4.47,Evening,1,South,South
D073,East,FullTime,11,76.9,4.58,Evening,1,East,East
D074,Central,FullTime,12,79.5,4.61,Evening,1,Central,Central
D075,Airport,FullTime,13,99.0,3.62,Evening,1,Airport,Airport
D076,East,FullTime,15,61.6,3.88,Morning,1,East,East
D077,South,FullTime,8,64.9,3.68,Morning,1,South,South
D078,north,FullTime,11,73.7,4.28,Morning,1,North,North
D079,South,PartTime,1,75.2,4.48,Night,1,South,South
D080,Central,FullTime,11,75.2,4.35,Flexible,1,Central,Central
D081,RiverSide,PartTime,1,82.0,4.78,Flexible,1,Riverside,Riverside
D082,WEST,PartTime,14,74.1,4.63,Evening,1,West,West
D083,North,FullTime,12,80.8,4.16,Flexible,1,North,North
D084,Central,PartTime,2,47.2,3.99,Evening,1,Central,Central
D085,North,PartTime,9,84.5,4.11,Evening,0,North,North
D086,north,PartTime,14,70.6,5.0,Flexible,1,North,North
D087,north,Contract,13,73.3,4.43,Night,1,North,North
D088,Riverside,Contract,4,84.3,4.17,Morning,1,Riverside,Riverside
D089,Ctr,FullTime,2,71.1,4.57,Night,1,Ctr,Ctr
D090,NORTH,FullTime,8,58.0,3.78,Morning,1,North,North
D091,Riverside,FullTime,12,68.0,4.46,Night,1,Riverside,Riverside
D092,East,FullTime,15,88.2,4.24,Evening,1,East,East
D093,South,PartTime,12,75.2,4.43,Flexible,1,South,South
D094,Ctr,PartTime,6,60.8,4.48,Night,0,Ctr,Ctr
D095,WEST,FullTime,12,99.0,3.15,Night,1,West,West
D096,Ctr,FullTime,4,56.4,4.03,Morning,1,Ctr,Ctr
D097,West,FullTime,2,79.1,4.48,Flexible,1,West,West
D098,SOUTH,Contract,3,70.9,4.29,Morning,1,South,South
D099,NORTH,Contract,10,82.7,3.48,Night,1,North,North
D100,CENTRAL,FullTime,4,62.0,4.31,Flexible,1,Central,Central
D101,WEST,FullTime,8,75.6,4.48,Morning,1,West,West
D102,East,PartTime,10,67.6,4.62,Morning,1,East,East
D103,Central,FullTime,15,72.5,4.4,Morning,1,Central,Central
D104,WEST,FullTime,15,87.7,3.45,Morning,1,West,West
D105,RiverSide,Contract,2,82.0,3.71,Morning,1,Riverside,Riverside
D106,Central,Contract,12,71.9,3.66,Morning,1,Central,Central
D107,RiverSide,FullTime,14,57.0,4.82,Flexible,1,Riverside,Riverside
D108,South,FullTime,10,70.6,4.33,Morning,1,South,South
D109,Central,Contract,14,68.1,3.94,Morning,1,Central,Central
D110,RiverSide,Contract,7,40.6,4.1,Morning,1,Riverside,Riverside
D111,Airport,FullTime,15,79.2,4.12,Night,1,Airport,Airport
D112,East,FullTime,14,79.1,4.51,Morning,1,East,East
D113,AIRPORT,PartTime,8,70.5,4.47,Evening,1,Airport,Airport
D114,Ctr,FullTime,2,57.4,4.07,Evening,1,Ctr,Ctr
D115,South,FullTime,11,69.5,4.77,Morning,1,South,South
D116,CENTRAL,FullTime,4,58.2,4.19,Morning,1,Central,Central
D117,north,FullTime,1,71.1,3.93,Flexible,1,North,North
D118,NORTH,FullTime,1,80.6,4.88,Night,1,North,North
D119,South,FullTime,5,56.0,3.55,Flexible,1,South,South
D120,North,PartTime,3,76.9,3.72,Morning,1,North,North
D121,RiverSide,Contract,3,75.2,4.97,Morning,1,Riverside,Riverside
D122,South,FullTime,2,63.5,4.29,Morning,1,South,South
D123,RiverSide,FullTime,3,93.5,4.12,Flexible,1,Riverside,Riverside
D124,north,FullTime,4,70.6,3.78,Night,1,North,North
D125,NORTH,PartTime,15,90.5,4.07,Morning,1,North,North
D126,East,PartTime,9,69.7,4.1,Evening,1,East,East
D127,CENTRAL,FullTime,10,61.5,4.19,Morning,1,Central,Central
D128,Central,Contract,13,84.7,3.32,Morning,1,Central,Central
D129,north,FullTime,10,64.9,4.18,Night,1,North,North
D130,WEST,FullTime,8,71.2,3.64,Evening,1,West,West
D131,SOUTH,FullTime,9,86.7,4.26,Night,0,South,South
D132,South,Contract,8,77.6,4.2,Evening,1,South,South
D133,South,Contract,12,88.2,3.99,Flexible,1,South,South
D134,South,PartTime,4,61.5,3.59,Flexible,1,South,South
D135,Riverside,PartTime,2,70.3,4.4,Flexible,1,Riverside,Riverside
D136,Airport,FullTime,4,89.5,3.99,Evening,1,Airport,Airport
D137,North,Contract,10,65.6,4.4,Flexible,1,North,North
D138,Ctr,PartTime,11,69.2,4.61,Evening,1,Ctr,Ctr
D139,South,FullTime,10,71.4,4.99,Evening,1,South,South
D140,North,FullTime,7,80.1,3.92,Morning,1,North,North
D141,North,PartTime,14,71.4,3.44,Flexible,1,North,North
D142,AIRPORT,FullTime,12,98.7,4.23,Night,1,Airport,Airport
D143,CENTRAL,FullTime,6,68.5,4.14,Night,1,Central,Central
D144,West,FullTime,6,85.0,3.83,Morning,1,West,West
D145,North,FullTime,11,68.4,4.09,Morning,1,North,North
D146,Airport,Contract,1,75.2,4.36,Morning,1,Airport,Airport
D147,West,FullTime,13,66.4,3.8,Night,1,West,West
D148,CENTRAL,PartTime,10,53.1,4.4,Flexible,1,Central,Central
D149,Airport,FullTime,7,81.5,4.55,Night,1,Airport,Airport
D150,EAST,FullTime,12,88.1,4.08,Night,1,East,East
D151,East,FullTime,2,71.3,4.69,Flexible,1,East,East
D152,north,PartTime,5,75.2,4.06,Flexible,1,North,North
D153,EAST,FullTime,8,82.3,3.83,Evening,1,East,East
D154,Airport,FullTime,4,67.0,4.35,Evening,1,Airport,Airport
D155,CENTRAL,PartTime,6,69.5,3.98,Morning,1,Central,Central
D156,South,FullTime,14,84.5,3.62,Evening,1,South,South
D157,South,FullTime,13,74.1,4.42,Evening,1,South,South
D158,Central,FullTime,5,81.4,4.45,Morning,1,Central,Central
D159,AIRPORT,FullTime,11,68.6,4.18,Morning,1,Airport,Airport
D160,East,FullTime,12,72.8,4.48,Morning,1,East,East
D161,NORTH,FullTime,1,84.7,4.02,Evening,1,North,North
D162,RiverSide,Contract,11,69.0,4.62,Night,1,Riverside,Riverside
D163,RiverSide,FullTime,11,78.2,4.5,Morning,0,Riverside,Riverside
D164,Central,FullTime,5,76.1,4.07,Flexible,1,Central,Central
D165,North,PartTime,10,82.2,3.89,Night,1,North,North
D166,West,PartTime,7,74.6,4.07,Night,1,West,West
D167,SOUTH,PartTime,12,75.3,4.64,Night,1,South,South
D168,North,FullTime,12,93.6,3.84,Morning,1,North,North
D169,East,Contract,5,77.6,3.81,Flexible,1,East,East
D170,West,FullTime,14,75.2,4.48,Morning,1,West,West
